Hoechst, 352, 455, 47000, 0.35
DAPI, 358, 463, 30600, 0.58
TagBFP, 402, 457, 52000, 0.63
ECFP, 437, 476, 32500, 0.4
mCerulean3, 433, 475, 40000, 0.87
mTurquoise2, 433, 475, 30000, 0.93
EGFP, 488, 509, 56000, 0.6
FITC, 495, 517, 70000, 0.92
Clover, 505, 515, 111000, 0.76
mNeonGreen, 506, 517, 116000, 0.8
Wasabi, 493, 509, 70000, 0.8
EYFP, 514, 526, 83400, 0.61
Venus, 515, 527, 105000, 0.64
Citrine, 516, 529, 77000, 0.76
SYFP2, 515, 527, 101000, 0.68
tdTomato, 554, 581, 138000, 0.69
TagRFP, 555, 584, 100000, 0.48
TagRFP-T, 555, 584, 81000, 0.41
mRuby2, 559, 600, 113000, 0.38
dsRed, 563, 581, 35000, 0.1
mRFP, 585, 608, 50000, 0.25
mCherry, 587, 610, 72000, 0.22
mKate2, 588, 633, 62500, 0.4
mNeptune, 600, 650, 67000, 0.2
Alexa405, 401, 421, 34000, 0.54
Alexa430, 431, 540, 16000, 0.5
Alexa488, 493, 520, 71000, 0.92
Alexa532, 528, 553, 81000, 0.61
Alexa546, 562, 573, 104000, 0.79
Alexa555, 553, 568, 150000, 0.1
Alexa568, 576, 603, 91300, 0.69
Alexa594, 590, 619, 90000, 0.66
Alexa647, 653, 669, 239000, 0.33
Alexa660, 664, 691, 132000, 0.37
Alexa680, 679, 703, 184000, 0.36
Alexa700, 702, 723, 192000, 0.37
Alexa750, 749, 775, 240000, 0.36
Cy3, 749, 775, 150000, 0.15
Cy5, 749, 775, 250000, 0.22
Custom, 1, 1, 56000, 0.6
